sv,phylum,class,order,family,genus,species
sv-1:U422-1_S251_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
sv-2:U743-8_S148_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-3:U387-2_S367_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei
sv-4:U190-8_S323_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-5:U382-8_S361_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris
sv-6:U796-7_S194_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
sv-7:U346-7_S318_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,
sv-8:U225-4_S283_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-9:U386-3_S375_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens
sv-10:U328-3_S374_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis
sv-11:U582-4_S57_L001_001,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis
sv-12:U396-1_S234_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
sv-13:U480-3_S121_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-14:U371-7_S347_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides merdae
sv-15:U383-8_S358_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia wexlerae
sv-16:U177-6_S27_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus
sv-17:U260-4_S251_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis
sv-18:U551-5_S61_L001_001,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,
sv-19:U308-3_S307_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecichinchillae/thetaiotaomicron
sv-20:U292-4_S143_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
sv-21:U291-4_S191_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus
sv-22:U313-1_S331_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides massiliensis
sv-23:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia faecis
sv-24:U371-7_S347_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae
sv-25:U291-4_S191_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus bromii
sv-26:U484-6_S194_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides plebeius
sv-27:U476-1_S283_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-28:U344-4_S325_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans
sv-29:U538-8_S48_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-30:U746-8_S351_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus
sv-31:U483-1_S92_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis
sv-32:U370-7_S329_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus bicirculans
sv-33:U312-3_S338_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii/onderdonkii
sv-34:U404-8_S253_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,
sv-35:U295-6_S105_L001_001,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus parainfluenzae
sv-36:U371-5_S343_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides coprocola
sv-37:U243-7_S357_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia massiliensis
sv-38:U465-2_S331_L001_001,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
sv-39:U375-6_S305_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-40:U628-1_S259_L001_001,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia/Shigella,Escherichia_coli/Shigella_flexneri
sv-41:U443-6_S80_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister invisus
sv-42:U512-6_S229_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,Sutterella wadsworthensis
sv-43:U565-6_S18_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia intestinalis
sv-44:U188-8_S66_L001_001,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum
sv-45:U257-3_S169_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus
sv-46:U686-3_S181_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia obeum
sv-47:U330-2_S297_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus
sv-48:U080-7_S160_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea longicatena
sv-49:U501-8_S23_L001_001,Actinobacteria <actinobacteria>,Actinobacteria <high GC Gram+>,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum
sv-50:U539-1_S172_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-51:U388-1_S322_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-52:U797-3_S100_L001_001,Actinobacteria <actinobacteria>,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens
sv-53:U319-8_S365_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-54:U565-5_S45_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
sv-55:U239-5_S54_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,Anaerobutyricum hallii
sv-56:U484-6_S194_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
sv-57:U759-7_S381_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium/Massilimicrobiota,
sv-58:U327-6_S311_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii
sv-59:U176-8_S132_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus
sv-60:U371-7_S347_L001_001,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis
sv-61:U315-7_S315_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis
sv-62:U167-7_S335_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-63:U274-5_S279_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus faecis
sv-64:U257-4_S100_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-65:U464-6_S245_L001_001,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis/rupellensis
sv-66:U658-7_S191_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Sutterella,
sv-67:U604-4_S167_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-68:U442-7_S97_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
sv-69:U218-4_S305_L001_001,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus salivarius/thermophilus
sv-70:U250-2_S126_L001_001,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Romboutsia timonensis
sv-71:U447-3_S209_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii
sv-72:U522-3_S256_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes
sv-73:U583-3_S40_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides plebeius
sv-74:U428-2_S51_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Massiliprevotella,
sv-75:U468-1_S218_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-76:U479-8_S229_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-77:U482-3_S74_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-78:U662-7_S131_L001_001,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Marseillibacter,
sv-79:U661-4_S175_L001_001,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila wadsworthia
sv-80:U383-5_S355_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
sv-81:U383-5_S355_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides vulgatus
sv-82:U387-6_S238_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus bromii
sv-83:U316-5_S342_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
sv-84:U583-6_S266_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera massiliensis
sv-85:U327-6_S311_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus
sv-86:U441-1_S146_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] eligens
sv-87:U526-5_S76_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] gnavus
sv-88:U555-7_S170_L001_001,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
sv-89:U374-2_S319_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,
sv-90:U288-9_S320_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei
sv-91:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-92:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,,,
sv-93:U328-3_S374_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor,Flavonifractor plautii
sv-94:U360-5_S366_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-95:U235-3_S10_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-96:U771-4_S141_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,
sv-97:U347-5_S383_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris
sv-98:U642-1_S271_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,
sv-99:U102-3_S50_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,[Eubacterium] siraeum
sv-100:U710-5_S262_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum butyriciproducens
sv-101:U661-9_S34_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,
sv-102:U163-6_S74_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-103:U719-4_S59_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii
sv-104:U735-7_S284_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,
sv-105:U098-4_S9_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii
sv-106:U390-3_S302_L001_001,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Acidaminococcus intestini
sv-107:U743-1_S40_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,
sv-108:U570-4_S93_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-109:U344-4_S325_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] eligens
sv-111:U711-6_S157_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-112:U238-1_S15_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,[Ruminococcus] torques
sv-113:U587-8_S260_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Eubacteriaceae,,
sv-114:U564-8_S158_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Dorea formicigenerans
sv-115:U461-2_S375_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-116:U323-3_S371_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii
sv-117:U424-5_S262_L001_001,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium succinatutens
sv-118:U200-7_S34_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis
sv-119:U339-8_S70_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,[Clostridium] indolis/methoxybenzovorans
sv-120:U526-2_S86_L001_001,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Intestinibacter,Intestinibacter bartlettii
sv-121:U280-7_S371_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae/Ruminococcaceae,Eubacterium,
sv-122:NP2-7_S375_L001_001,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
sv-123:U634-4_S270_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera elsdenii
sv-124:U334-3_S337_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-125:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia hominis
sv-126:U477-8_S54_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes obesi
sv-127:U272-4_S2_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,
sv-128:U269-5_S76_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus eutactus
sv-129:U713-2_S51_L001_001,Firmicutes,,,,,
sv-130:U387-2_S367_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Eubacteriaceae,Eubacterium,
sv-131:U268-3_S59_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella copri
sv-132:U370-7_S329_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,
sv-133:U157-3_S144_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-134:U628-3_S176_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella dispar
sv-136:U109-8_S86_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,
sv-138:U379-6_S341_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus
sv-139:U127-8_S77_L001_001,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,
sv-140:U149-1_S207_L001_001,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
sv-141:U506-6_S240_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-142:U685-2_S212_L001_001,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter smithii
sv-143:U272-4_S2_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus catus
sv-144:U713-2_S51_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-145:U249-6_S214_L001_001,Bacteroidetes <Bacteroidetes>,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides johnsonii
sv-146:U390-3_S302_L001_001,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Mesosutterella,Mesosutterella multiformis
sv-147:U483-5_S285_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-148:f17-2-Zymo-c_S288_L001_001,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecalis/faecium
sv-149:U242-8_S40_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Eubacteriaceae,,
sv-150:U168-4_S170_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,Agathobaculum butyriciproducens
sv-152:U763-7_S61_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-153:U327-6_S311_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
sv-154:U622-2_S133_L001_001,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,
sv-155:U529-2_S63_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-156:U371-5_S343_L001_001,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium ramulus
sv-157:U777-2_S97_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium edouardi
sv-158:U145-1_S174_L001_001,Firmicutes,Clostridia,Clostridiales,,Flintibacter,
sv-159:U652-2_S261_L001_001,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Holdemanella,Holdemanella biformis
sv-160:U483-5_S285_L001_001,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,
sv-161:U539-8_S339_L001_001,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella parvula
