Participant_ID	Semester	Study_week	Cyanobacteria/Proteobacteria	Proteobacteria	Spirochaetes <Spirochaetes>	PVC group	Terrabacteria group	Euryarchaeota/Bacteroidetes_<Bacteroidetes>	Firmicutes/Bacteroidetes_<Bacteroidetes>	Euryarchaeota/Synergistetes	Bacteroidetes <Bacteroidetes>	Lentisphaerae	Proteobacteria/Firmicutes	unclassified Archaea (miscellaneous)	Verrucomicrobia	Actinobacteria <actinobacteria>	Bacteria <bacteria>	Cyanobacteria	Deinococcus-Thermus	Firmicutes/Fusobacteria_<Fusobacteria>	Synergistetes	Planctomycetes <Planctomycetes>	Firmicutes/Euryarchaeota	Firmicutes	Candidatus Saccharibacteria	Firmicutes/Tenericutes	Fusobacteria <Fusobacteria>	Tenericutes	Acidobacteria <Acidobacteria>	Firmicutes/Actinobacteria_<actinobacteria>	Elusimicrobia <phylum>	Candidatus Melainabacteria	Cyanobacteria/Melainabacteria group	Euryarchaeota	Bacteroidetes/Chlorobi group	Proteobacteria/Bacteroidetes_<Bacteroidetes>	Firmicutes/Verrucomicrobia
U042	Fall2015	week1	0	1787	0	0	0	0	0	0	18149	0	0	0	0	82	0	0	0	0	0	0	0	14119	0	0	0	0	0	0	0	0	0	0	0	0	0
U042	Fall2015	week3	0	447	0	0	0	0	0	0	16756	0	0	0	0	359	0	0	0	0	0	0	0	13515	0	0	0	0	0	0	0	0	0	0	0	0	0
U044	Fall2015	week3	0	575	0	0	0	0	0	0	7587	13.5	0	0	0	2589.5	0	0	0	0	0	0	0	15632	0	0	0	17.5	0	289.5	0	0	0	749	0	0	0
U046	Fall2015	week3	0	2702	0	0	0	0	0	0	17707	0	0	0	0	16.5	0	0	0	0	0	0	0	7980.5	0	0	0	0	0	0	0	0	0	0	0	0	0
U048	Fall2015	week3	0	3729	0	0	0	0	0	0	22233	0	0	0	0	450	0	0	0	0	0	0	0	12427	0	0	0	0	0	0	0	0	0	0	0	0	0
U050	Fall2015	week3	0	804	0	0	0	0	0	0	9706	0	0	0	0	424	0	0	0	0	0	0	0	12079	0	0	0	0	0	0	0	0	0	0	0	0	0
U051	Fall2015	week1	0	325	0	0	0	0	0	0	4827	0	0	0	95	1938	0	0	0	0	0	0	0	19352	0	0	4	0	0	265	0	0	67	1001	0	0	0
U052	Fall2015	week1	0	1882	0	0	1	0	0	0	13166	0	0	0	7	44	0	0	0	0	0	0	0	4944	0	0	0	0	0	0	0	0	0	0	0	0	0
U052	Fall2015	week3	0	6795	0	0	54	0	0	0	16858	0	0	0	443	190	0	0	0	0	0	0	0	5324	0	0	0	0	0	0	0	0	0	0	0	0	0
U053	Fall2015	week1	0	99	0	0	0	0	0	0	22655	0	0	0	2	0	0	0	0	0	0	0	0	7061	0	0	0	0	0	0	0	0	0	0	0	0	0
U054	Fall2015	week1	0	1582.25	0	0	0	0	0	0	20357	0	0	0	1	49	0	0	0	0	0	0	0	11479	0	0	0	0	0	0	0	0	0	0	0	0	0
U054	Fall2015	week3	0	1401.5	0	0	0	0	0	0	14542.5	0	0	0	2.5	47.5	0	0	0	0	0	0	0	12668.5	0	0	0	0	0	0	0	0	0	0	0	0	0
U056	Fall2015	week1	0	867	0	0	0	0	0	0	14381	0	0	0	0	10	0	0	0	0	0	0	0	11219	0	0	0	12	0	0	0	0	0	0	0	0	0
U057	Fall2015	week3	0	686	0	0	0	0	0	0	16255	0	0	0	0	147	0	0	0	0	0	0	0	8265	0	0	0	0	0	0	0	0	0	0	0	0	0
U058	Fall2015	week1	0	1366.5	0	0	0	0	0	0	14953.5	0	0	0	0	1051.5	0	0	0	0	0	0	0	12500	0	0	72.5	0	0	0	0	0	0	0	0	0	0
U059	Fall2015	week3	0	552	0	0	0	0	0	0	14673	0	0	0	18	630	0	0	0	0	0	0	0	8742	0	0	0	0	0	0	0	0	0	0	0	0	0
U061	Fall2015	week1	0	324	0	0	0	0	0	0	14335.33	0	0	0	1766	974.33	0	0	0	0	0	0	0	17289.67	0	0	0	0	0	0	0	0	0	0	0	0	0
